Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PLCE,"The Children's Place, Inc.",$5.88,,,$129.58M,US,,142984,Consumer Cyclical,Apparel - Retail
GAIA,"Gaia, Inc.",$5.15,,,$129.12M,US,,2696,Communication Services,Entertainment
PTRS,Partners Bancorp,$7.15,,,$128.60M,US,,157109,Financial Services,Banks - Regional
NGM,"NGM Biopharmaceuticals, Inc.",$1.54,,,$128.53M,US,,2205569,Healthcare,Biotechnology
ADJEX,Azzad Ethical Fund,$15.7,,,$128.50M,US,,,Financial Services,Asset Management
WLAC,Willow Lane Acquisition Corp.,$10.15,,,$128.40M,US,,26808,Financial Services,Shell Companies
CAGEX,Calamos Global Equity Fund-Class A,$17.28,,,$128.39M,US,,,Financial Services,Asset Management - Global
WMKSX,WesMark Small Company Fund,$15.54,,,$128.39M,US,,,Financial Services,Asset Management
SFBC,"Sound Financial Bancorp, Inc.",$50,,,$128.30M,US,,1451,Financial Services,Banks - Regional
FNWD,Finward Bancorp,$29.64,,,$128.21M,US,,1141,Financial Services,Banks - Regional
LUCD,Lucid Diagnostics Inc.,$1.2594,,,$127.96M,US,,1277207,Healthcare,Medical - Devices
SESN,"Sesen Bio, Inc.",$0.6288,,,$127.96M,US,,1782290,Healthcare,Biotechnology
PRTK,"Paratek Pharmaceuticals, Inc.",$2.23,,,$127.83M,US,,4476125,Healthcare,Biotechnology
GSRM,GSR II Meteora Acquisition Corp.,$3.23,,,$127.69M,US,,517057,Financial Services,Shell Companies
TRUE,"TrueCar, Inc.",$1.45,,,$127.13M,US,,65938,Communication Services,Internet Content & Information
ACAH,Atlantic Coastal Acquisition Corp.,$10.45,,,$127.05M,US,,37960,Financial Services,Shell Companies
PDEX,"Pro-Dex, Inc.",$38.92,,,$126.92M,US,,8140,Healthcare,Medical - Instruments & Supplies
POGSX,Pin Oak Equity Fund,$82.06,,,$126.86M,US,,,Financial Services,Asset Management
RMGC,RMG Acquisition Corp. III,$9.98,,,$126.85M,US,,16148,Financial Services,Shell Companies
ABAT,American Battery Technology Company Common Stock,$1.38,,,$126.80M,US,,597056,Basic Materials,Industrial Materials
LPTH,"LightPath Technologies, Inc.",$2.9524,,,$126.65M,US,,55293,Technology,"Hardware, Equipment & Parts"
SBFG,"SB Financial Group, Inc.",$19.4,,,$126.59M,US,,715,Financial Services,Banks - Regional
CAEIX,Calvert Global Energy Solutions I,$11.52,,,$126.34M,US,,,,
BAIAX,Brown Advisory Intermediate Income Fund,$9.44,,,$126.26M,US,,,Financial Services,Asset Management - Income
RELL,"Richardson Electronics, Ltd.",$8.885,,,$126.22M,US,,16159,Technology,"Hardware, Equipment & Parts"
PTHR,"Pono Capital Three, Inc.",$5.72,,,$126.07M,US,,17445,Financial Services,Shell Companies
CAMYX,Cambiar International Equity Fund,$29.74,,,$125.95M,US,,,Financial Services,Asset Management
CAMIX,Cambiar International Equity Fund Investor Class,$29.72,,,$125.95M,US,,,Financial Services,Asset Management
